order_date,storekey,productkey,currency_code,total_quantity,order_count,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,unit_cost_flagged,unit_price_flagged,price_mismatch_flagged,country,state,square_meters,open_date,square_meters_flagged,open_date_flagged,rate_date,currency,exchange,revenue_usd,cost_usd,margin_usd
2016-01-01,29,1060,EUR,5,1,A. Datum SLR Camera X139 Gold,A. Datum,Gold,207.74,627.0,402,Digital SLR Cameras,4,Cameras and camcorders,False,False,False,Italy,Enna,1000.0,2008-01-01,False,False,2016-01-01,EUR,0.9185,2879.4975,954.0459500000001,1925.4515499999998
2016-01-01,29,1154,EUR,9,1,"Fabrikam Trendsetter 1/3"" 8.5mm X200 Blue",Fabrikam,Blue,330.66,998.0,405,Camcorders,4,Cameras and camcorders,False,False,False,Italy,Enna,1000.0,2008-01-01,False,False,2016-01-01,EUR,0.9185,8249.967,2733.40089,5516.566110000001
2016-01-01,29,2510,EUR,1,1,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,White,2.07,4.06,505,Cell phones Accessories,5,Cell phones,False,False,False,Italy,Enna,1000.0,2008-01-01,False,False,2016-01-01,EUR,0.9185,3.7291099999999995,1.9012949999999997,1.8278149999999997
2016-01-01,33,421,EUR,4,1,Adventure Works Desktop PC3.0 MS300 Silver,Adventure Works,Silver,215.68,469.0,303,Desktops,3,Computers,False,False,False,Netherlands,Friesland,1540.0,2015-12-09,False,False,2016-01-01,EUR,0.9185,1723.106,792.40832,930.69768
2016-01-01,38,163,GBP,6,1,"Adventure Works 52"" LCD HDTV X790W White",Adventure Works,White,527.53,1592.2,201,Televisions,2,TV and Video,False,False,False,United Kingdom,Belfast,1800.0,2015-04-04,False,False,2016-01-01,GBP,0.6742,6440.7674400000005,2133.964356,4306.803084000001
2016-01-01,38,1529,GBP,2,1,The Phone Company PDA Handheld 3.5 inch M610 Black,The Phone Company,Black,117.27,255.0,504,Smart phones & PDAs,5,Cell phones,False,False,False,United Kingdom,Belfast,1800.0,2015-04-04,False,False,2016-01-01,GBP,0.6742,343.842,158.126868,185.71513199999998
2016-01-01,41,1654,GBP,5,1,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,Silver,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United Kingdom,Fermanagh,2100.0,2013-06-07,False,False,2016-01-01,GBP,0.6742,876.4262900000001,290.37794,586.04835
2016-01-01,43,666,USD,5,1,Proseware Office Jet All-in-One Printer M500 Black,Proseware,Black,74.96,163.0,306,"Printers, Scanners & Fax",3,Computers,False,False,False,United States,Alaska,1190.0,2015-01-01,False,False,2016-01-01,USD,1.0,815.0,374.79999999999995,440.20000000000005
2016-01-01,43,1617,USD,1,1,Contoso DVD Player M110 Silver,Contoso,Silver,26.67,57.99,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United States,Alaska,1190.0,2015-01-01,False,False,2016-01-01,USD,1.0,57.99,26.67,31.32
2016-01-01,63,1253,USD,7,1,Contoso General Carrying Case E304 Silver,Contoso,Silver,10.19,19.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,False,False,False,United States,Utah,2000.0,2008-03-06,False,False,2016-01-01,USD,1.0,139.92999999999998,71.33,68.59999999999998
2016-01-01,65,1297,USD,1,1,Contoso USB Cable M250 White,Contoso,White,11.5,25.0,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,False,False,False,United States,West Virginia,1785.0,2012-01-01,False,False,2016-01-01,USD,1.0,25.0,11.5,13.5
2016-01-01,65,1594,USD,4,1,SV DVD 38 DVD Storage Binder E25 Red,Southridge Video,Red,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United States,West Virginia,1785.0,2012-01-01,False,False,2016-01-01,USD,1.0,39.96,20.36,19.6
2016-01-01,65,1807,USD,1,1,MGS Dungeon Siege 2009 E163,Tailspin Toys,Gold,16.31,32.0,702,Download Games,7,Games and Toys,False,False,False,United States,West Virginia,1785.0,2012-01-01,False,False,2016-01-01,USD,1.0,32.0,16.31,15.690000000000001
2016-01-01,66,128,USD,7,1,"Adventure Works 19"" Color Digital TV E35 Brown",Adventure Works,Brown,73.11,143.4,201,Televisions,2,TV and Video,False,False,False,United States,Wyoming,840.0,2014-01-01,False,False,2016-01-01,USD,1.0,1003.8000000000001,511.77,492.0300000000001
2016-01-01,66,1634,USD,1,1,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso,Silver,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United States,Wyoming,840.0,2014-01-01,False,False,2016-01-01,USD,1.0,9.99,5.09,4.9
2016-01-01,66,1638,USD,1,1,Contoso DVD 58 DVD Storage Binder M55 Red,Contoso,Red,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United States,Wyoming,840.0,2014-01-01,False,False,2016-01-01,USD,1.0,13.89,6.39,7.500000000000001
2016-01-01,66,2392,USD,3,1,Proseware Air conditioner 10000BTU M490 Red,Proseware,Red,197.74,429.99,807,Air Conditioners,8,Home Appliances,False,False,False,United States,Wyoming,840.0,2014-01-01,False,False,2016-01-01,USD,1.0,1289.97,593.22,696.75
2016-01-02,0,120,GBP,3,1,"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,61.17,119.99,201,Televisions,2,TV and Video,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,GBP,0.6742,242.69177399999998,123.722442,118.96933199999998
2016-01-02,0,132,GBP,1,1,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,Brown,101.97,200.0,201,Televisions,2,TV and Video,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,GBP,0.6742,134.84,68.748174,66.091826
2016-01-02,0,319,EUR,2,1,SV Car Video LCD9.2W X9281 Silver,Southridge Video,Silver,287.92,869.0,205,Car Video,2,TV and Video,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,EUR,0.9185,1596.353,528.90904,1067.44396
2016-01-02,0,382,GBP,2,1,Adventure Works Laptop12 M1201 Red,Adventure Works,Red,195.24,382.95,301,Laptops,3,Computers,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,GBP,0.6742,516.36978,263.261616,253.108164
2016-01-02,0,784,EUR,1,1,Contoso Laptop Starter Bundle M200 White,Contoso,White,7.59,16.5,308,Computers Accessories,3,Computers,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,EUR,0.9185,15.15525,6.9714149999999995,8.183835000000002
2016-01-02,0,976,EUR,1,1,A. Datum All in One Digital Camera M200 Pink,A. Datum,Pink,86.45,188.0,401,Digital Cameras,4,Cameras and camcorders,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,EUR,0.9185,172.678,79.404325,93.273675
2016-01-02,0,1597,EUR,7,1,SV DVD External DVD Burner M200 Black,Southridge Video,Black,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,EUR,0.9185,372.13946000000004,171.15329,200.98617000000004
2016-01-02,0,1674,EUR,8,1,MGS Hand Games for students E400 Red,Tailspin Toys,Red,3.56,6.99,701,Boxed Games,7,Games and Toys,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,EUR,0.9185,51.36252,26.15888,25.203640000000004
2016-01-02,0,1691,EUR,1,1,SV Hand Games for kids E30 Black,Southridge Video,Black,2.75,5.39,701,Boxed Games,7,Games and Toys,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,EUR,0.9185,4.950715,2.525875,2.4248399999999997
2016-01-02,0,1720,EUR,2,1,MGS Zoo Tycoon 2: African Adventure M280,Tailspin Toys,Black,32.25,70.13,702,Download Games,7,Games and Toys,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,EUR,0.9185,128.82880999999998,59.243249999999996,69.58555999999999
2016-01-02,0,1722,GBP,3,1,MGS Zoo Tycoon 2: End range Species Expansion Pack E105,Tailspin Toys,Silver,28.55,56.0,702,Download Games,7,Games and Toys,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,GBP,0.6742,113.2656,57.74523000000001,55.52037
2016-01-02,0,2017,EUR,3,1,Fabrikam Microwave 0.9CuFt E0900 Blue,Fabrikam,Blue,50.98,99.99,803,Microwaves,8,Home Appliances,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,EUR,0.9185,275.52244499999995,140.47539,135.04705499999994
2016-01-02,0,2511,EUR,9,1,Contoso Original K1m Li-Ion Standard Battery E170 Silver,Contoso,Silver,2.07,4.06,505,Cell phones Accessories,5,Cell phones,False,False,False,Online,Online,1347.5,2010-01-01,False,False,2016-01-02,EUR,0.9185,33.56199,17.111655,16.450335000000003
2016-01-02,2,1031,AUD,2,1,A. Datum Ultra Compact Digital Camera M190 Azure,A. Datum,Azure,75.88,165.0,401,Digital Cameras,4,Cameras and camcorders,False,False,False,Australia,Northern Territory,665.0,2008-01-12,False,False,2016-01-02,AUD,1.3683,451.53900000000004,207.653208,243.88579200000004
2016-01-02,2,1139,AUD,5,1,"Fabrikam SLR Camera 35"" M358 Orange",Fabrikam,Orange,150.84,328.0,402,Digital SLR Cameras,4,Cameras and camcorders,False,False,False,Australia,Northern Territory,665.0,2008-01-12,False,False,2016-01-02,AUD,1.3683,2244.012,1031.97186,1212.04014
2016-01-02,9,145,CAD,3,1,"Adventure Works 52"" LCD HDTV X590 Silver",Adventure Works,Silver,960.82,2899.99,201,Televisions,2,TV and Video,False,False,False,Canada,Northwest Territories,1500.0,2005-03-04,False,False,2016-01-02,CAD,1.3884,12079.038348,4002.0074640000003,8077.030884
2016-01-02,9,1653,CAD,5,1,Contoso DVD 7-Inch Player Portable E200 Silver,Contoso,Silver,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,Canada,Northwest Territories,1500.0,2005-03-04,False,False,2016-01-02,CAD,1.3884,763.55058,389.30736,374.24321999999995
2016-01-02,10,1445,CAD,4,1,"The Phone Company Touch Screen Phones 26-1.4"" M250 Gold",The Phone Company,Gold,123.24,268.0,503,Touch Screen Phones,5,Cell phones,False,False,False,Canada,Nunavut,1210.0,2015-04-04,False,False,2016-01-02,CAD,1.3884,1488.3648,684.425664,803.9391360000001
2016-01-02,10,1615,CAD,2,1,SV DVD 15-Inch Player Portable L200 White,Southridge Video,White,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,Canada,Nunavut,1210.0,2015-04-04,False,False,2016-01-02,CAD,1.3884,805.2442320000001,266.794944,538.4492880000001
2016-01-02,10,1624,CAD,6,1,Contoso DVD Recorder L220 White,Contoso,White,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,Canada,Nunavut,1210.0,2015-04-04,False,False,2016-01-02,CAD,1.3884,1824.3576,604.453824,1219.903776
2016-01-02,18,2445,EUR,3,1,Litware 80mm Dual Ball Bearing Case Fan E1001 Green,Litware,Green,2.54,4.99,808,Fans,8,Home Appliances,False,False,False,France,Mayotte,310.0,2012-08-08,False,False,2016-01-02,EUR,0.9185,13.749945,6.99897,6.750975
2016-01-02,22,39,EUR,1,1,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,Green,99.14,299.23,101,MP4&MP3,1,Audio,False,False,False,Germany,Freistaat ThÃ¼ringen,2000.0,2008-03-06,False,False,2016-01-02,EUR,0.9185,274.842755,91.06009,183.782665
2016-01-02,28,1951,EUR,3,1,Litware Refrigerator 24.7CuFt X980 Silver,Litware,Silver,1060.22,3199.99,802,Refrigerators,8,Home Appliances,False,False,False,Italy,Caltanissetta,1200.0,2012-12-15,False,False,2016-01-02,EUR,0.9185,8817.572445,2921.43621,5896.136235
2016-01-02,29,371,EUR,7,1,Adventure Works Laptop16 M1601 White,Adventure Works,White,275.46,599.0,301,Laptops,3,Computers,False,False,False,Italy,Enna,1000.0,2008-01-01,False,False,2016-01-02,EUR,0.9185,3851.2705,1771.0700699999998,2080.2004300000003
2016-01-02,29,448,EUR,6,1,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Black,137.6,269.9,303,Desktops,3,Computers,False,False,False,Italy,Enna,1000.0,2008-01-01,False,False,2016-01-02,EUR,0.9185,1487.4189,758.3136,729.1052999999999
2016-01-02,29,1645,EUR,7,1,Contoso DVD External DVD Burner M200 Silver,Contoso,Silver,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,Italy,Enna,1000.0,2008-01-01,False,False,2016-01-02,EUR,0.9185,372.13946000000004,171.15329,200.98617000000004
2016-01-02,29,1947,EUR,2,1,Litware Refrigerator 9.7CuFt M560 Brown,Litware,Brown,226.71,493.0,802,Refrigerators,8,Home Appliances,False,False,False,Italy,Enna,1000.0,2008-01-01,False,False,2016-01-02,EUR,0.9185,905.641,416.46627,489.17472999999995
2016-01-02,29,1975,EUR,1,1,Litware Refrigerator L1200 Orange,Litware,Orange,1060.22,3199.99,802,Refrigerators,8,Home Appliances,False,False,False,Italy,Enna,1000.0,2008-01-01,False,False,2016-01-02,EUR,0.9185,2939.190815,973.8120700000001,1965.378745
2016-01-02,31,41,EUR,6,1,Contoso 16GB New Generation MP5 Player M1650 Silver,Contoso,Silver,106.69,232.0,101,MP4&MP3,1,Audio,False,False,False,Netherlands,Drenthe,1085.0,2012-01-07,False,False,2016-01-02,EUR,0.9185,1278.552,587.96859,690.58341
2016-01-02,31,1733,EUR,2,1,MGS Halo: Combat Evolved E109,Tailspin Toys,Silver,11.62,22.79,702,Download Games,7,Games and Toys,False,False,False,Netherlands,Drenthe,1085.0,2012-01-07,False,False,2016-01-02,EUR,0.9185,41.86523,21.34594,20.519289999999998
2016-01-02,40,153,GBP,2,1,"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,216.12,469.97,201,Televisions,2,TV and Video,False,False,False,United Kingdom,Dungannon and South Tyrone,1300.0,2012-06-06,False,False,2016-01-02,GBP,0.6742,633.7075480000001,291.41620800000004,342.29134000000005
2016-01-02,42,663,GBP,3,1,Proseware High-Performance Business-Class Laser Fax X200 Black,Proseware,Black,82.17,248.0,306,"Printers, Scanners & Fax",3,Computers,False,False,False,United Kingdom,North Down,1900.0,2009-12-15,False,False,2016-01-02,GBP,0.6742,501.6048,166.197042,335.407758
2016-01-02,42,1194,GBP,6,1,Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Grey,Fabrikam,Grey,291.09,633.0,405,Camcorders,4,Cameras and camcorders,False,False,False,United Kingdom,North Down,1900.0,2009-12-15,False,False,2016-01-02,GBP,0.6742,2560.6116,1177.517268,1383.0943320000001
2016-01-02,42,1253,GBP,7,1,Contoso General Carrying Case E304 Silver,Contoso,Silver,10.19,19.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,False,False,False,United Kingdom,North Down,1900.0,2009-12-15,False,False,2016-01-02,GBP,0.6742,94.34080599999999,48.090686,46.25011999999999
2016-01-02,42,1596,GBP,1,1,SV DVD 55DVD Storage Binder M56 Red,Southridge Video,Red,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United Kingdom,North Down,1900.0,2009-12-15,False,False,2016-01-02,GBP,0.6742,8.535372,3.9238440000000003,4.611528
2016-01-02,42,2296,GBP,7,1,Proseware Chandelier M0815 Grey,Proseware,Grey,123.47,268.5,806,Lamps,8,Home Appliances,False,False,False,United Kingdom,North Down,1900.0,2009-12-15,False,False,2016-01-02,GBP,0.6742,1267.1589000000001,582.704318,684.4545820000002
2016-01-02,47,1203,USD,4,1,Fabrikam Trendsetter 2/3'' 17mm X100 Grey,Fabrikam,Grey,324.69,980.0,405,Camcorders,4,Cameras and camcorders,False,False,False,United States,Hawaii,1120.0,2015-04-04,False,False,2016-01-02,USD,1.0,3920.0,1298.76,2621.24
2016-01-02,50,302,USD,8,1,SV Car Video LCD9.2W X9280 Black,Southridge Video,Black,330.99,999.0,205,Car Video,2,TV and Video,False,False,False,United States,Kansas,2000.0,2008-03-06,False,False,2016-01-02,USD,1.0,7992.0,2647.92,5344.08
2016-01-02,50,2105,USD,5,1,Contoso Water Heater 7.2GPM X1800 Grey,Contoso,Grey,488.7,1475.0,804,Water Heaters,8,Home Appliances,False,False,False,United States,Kansas,2000.0,2008-03-06,False,False,2016-01-02,USD,1.0,7375.0,2443.5,4931.5
2016-01-02,51,426,USD,1,1,Adventure Works Desktop PC1.80 ED182 Black,Adventure Works,Black,254.86,499.9,303,Desktops,3,Computers,False,False,False,United States,Maine,1295.0,2010-01-01,False,False,2016-01-02,USD,1.0,499.9,254.86,245.03999999999996
2016-01-02,51,2010,USD,7,1,Fabrikam Microwave 1.0CuFt E1100 Black,Fabrikam,Black,71.37,139.99,803,Microwaves,8,Home Appliances,False,False,False,United States,Maine,1295.0,2010-01-01,False,False,2016-01-02,USD,1.0,979.9300000000001,499.59000000000003,480.34000000000003
2016-01-02,53,78,USD,1,1,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Silver,18.65,40.55,106,Bluetooth Headphones,1,Audio,False,False,False,United States,Montana,1260.0,2012-06-06,False,False,2016-01-02,USD,1.0,40.55,18.65,21.9
2016-01-02,53,1645,USD,1,1,Contoso DVD External DVD Burner M200 Silver,Contoso,Silver,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United States,Montana,1260.0,2012-06-06,False,False,2016-01-02,USD,1.0,57.88,26.62,31.26
2016-01-02,53,1728,USD,2,1,MGS Age of Mythology: Gold Edition M310,Tailspin Toys,Blue,36.7,79.8,702,Download Games,7,Games and Toys,False,False,False,United States,Montana,1260.0,2012-06-06,False,False,2016-01-02,USD,1.0,159.6,73.4,86.19999999999999
2016-01-02,53,2218,USD,2,1,Adventure Works Wall Lamp E2150 Grey,Adventure Works,Grey,61.17,119.99,806,Lamps,8,Home Appliances,False,False,False,United States,Montana,1260.0,2012-06-06,False,False,2016-01-02,USD,1.0,239.98,122.34,117.63999999999999
2016-01-02,53,2451,USD,3,1,Litware Desktop Wind Tower Oscillating Fan E1201 Brown,Litware,Brown,15.29,29.99,808,Fans,8,Home Appliances,False,False,False,United States,Montana,1260.0,2012-06-06,False,False,2016-01-02,USD,1.0,89.97,45.87,44.1
2016-01-02,56,136,USD,1,1,"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,Brown,160.93,349.95,201,Televisions,2,TV and Video,False,False,False,United States,New Hampshire,1260.0,2015-01-01,False,False,2016-01-02,USD,1.0,349.95,160.93,189.01999999999998
2016-01-02,56,1176,USD,1,1,Fabrikam Trendsetter 1'' 25mm X400 White,Fabrikam,White,331.32,1000.0,405,Camcorders,4,Cameras and camcorders,False,False,False,United States,New Hampshire,1260.0,2015-01-01,False,False,2016-01-02,USD,1.0,1000.0,331.32,668.6800000000001
2016-01-02,56,1184,USD,3,1,Fabrikam Business Videographer 1'' 25mm M600 White,Fabrikam,White,409.28,890.0,405,Camcorders,4,Cameras and camcorders,False,False,False,United States,New Hampshire,1260.0,2015-01-01,False,False,2016-01-02,USD,1.0,2670.0,1227.84,1442.16
2016-01-02,56,1574,USD,3,1,SV DVD Player M130 Grey,Southridge Video,Grey,27.59,59.99,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United States,New Hampshire,1260.0,2015-01-01,False,False,2016-01-02,USD,1.0,179.97,82.77,97.2
2016-01-02,56,1608,USD,1,1,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United States,New Hampshire,1260.0,2015-01-01,False,False,2016-01-02,USD,1.0,109.99,56.08,53.91
2016-01-02,56,1637,USD,4,1,Contoso DVD 48 DVD Storage Binder M50 Red,Contoso,Red,8.27,17.99,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United States,New Hampshire,1260.0,2015-01-01,False,False,2016-01-02,USD,1.0,71.96,33.08,38.879999999999995
2016-01-02,56,1641,USD,2,1,Contoso DVD 55DVD Storage Binder M56 Red,Contoso,Red,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",False,False,False,United States,New Hampshire,1260.0,2015-01-01,False,False,2016-01-02,USD,1.0,25.32,11.64,13.68
2016-01-02,57,53,USD,5,1,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Black,98.07,296.0,104,Recording Pen,1,Audio,False,False,False,United States,New Mexico,1645.0,2010-06-03,False,False,2016-01-02,USD,1.0,1480.0,490.34999999999997,989.6500000000001
2016-01-02,57,65,USD,7,1,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Purple,83.24,181.0,104,Recording Pen,1,Audio,False,False,False,United States,New Mexico,1645.0,2010-06-03,False,False,2016-01-02,USD,1.0,1267.0,582.68,684.32
2016-01-02,57,930,USD,8,1,SV 512MB Laptop memory E800 Yellow,Southridge Video,Yellow,17.33,33.99,308,Computers Accessories,3,Computers,False,False,False,United States,New Mexico,1645.0,2010-06-03,False,False,2016-01-02,USD,1.0,271.92,138.64,133.28000000000003
2016-01-02,57,934,USD,1,1,SV 4GB Laptop Memory M65 Blue,Southridge Video,Blue,36.33,79.0,308,Computers Accessories,3,Computers,False,False,False,United States,New Mexico,1645.0,2010-06-03,False,False,2016-01-02,USD,1.0,79.0,36.33,42.67
2016-01-02,57,1432,USD,9,1,The Phone Company Touch Screen Phones Infrared M901 Grey,The Phone Company,Grey,137.96,300.0,503,Touch Screen Phones,5,Cell phones,False,False,False,United States,New Mexico,1645.0,2010-06-03,False,False,2016-01-02,USD,1.0,2700.0,1241.64,1458.36
2016-01-02,57,1436,USD,5,1,The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Grey,The Phone Company,Grey,118.65,258.0,503,Touch Screen Phones,5,Cell phones,False,False,False,United States,New Mexico,1645.0,2010-06-03,False,False,2016-01-02,USD,1.0,1290.0,593.25,696.75
2016-01-02,57,1547,USD,3,1,The Phone Company PDA Handheld 3.5 inch M610 Silver,The Phone Company,Silver,117.27,255.0,504,Smart phones & PDAs,5,Cell phones,False,False,False,United States,New Mexico,1645.0,2010-06-03,False,False,2016-01-02,USD,1.0,765.0,351.81,413.19
2016-01-02,59,731,USD,4,1,Proseware Ink Jet Wireless All-In-One Printer M400 Green,Proseware,Green,59.32,129.0,306,"Printers, Scanners & Fax",3,Computers,False,False,False,United States,Oregon,2000.0,2012-08-08,False,False,2016-01-02,USD,1.0,516.0,237.28,278.72
2016-01-02,59,1245,USD,2,1,Fabrikam Social Videographer 1/3'' 8.5mm E200 White,Fabrikam,White,85.65,168.0,405,Camcorders,4,Cameras and camcorders,False,False,False,United States,Oregon,2000.0,2012-08-08,False,False,2016-01-02,USD,1.0,336.0,171.3,164.7
2016-01-02,59,1973,USD,4,1,Litware Refrigerator 3.2CuFt E160 Grey,Litware,Grey,142.75,279.99,802,Refrigerators,8,Home Appliances,False,False,False,United States,Oregon,2000.0,2012-08-08,False,False,2016-01-02,USD,1.0,1119.96,571.0,548.96
2016-01-02,63,206,USD,3,1,Litware Home Theater System 5.1 Channel M515 Black,Litware,Black,261.66,569.0,203,Home Theater System,2,TV and Video,False,False,False,United States,Utah,2000.0,2008-03-06,False,False,2016-01-02,USD,1.0,1707.0,784.98,922.02
2016-01-02,63,558,USD,7,1,Proseware Screen 113in X1609 White,Proseware,White,99.06,299.0,305,Projectors & Screens,3,Computers,False,False,False,United States,Utah,2000.0,2008-03-06,False,False,2016-01-02,USD,1.0,2093.0,693.4200000000001,1399.58
2016-01-02,63,1487,USD,1,1,The Phone Company Smart phones Unlocked M300 Grey,The Phone Company,Grey,122.78,267.0,504,Smart phones & PDAs,5,Cell phones,False,False,False,United States,Utah,2000.0,2008-03-06,False,False,2016-01-02,USD,1.0,267.0,122.78,144.22
2016-01-02,66,39,USD,1,1,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,Green,99.14,299.23,101,MP4&MP3,1,Audio,False,False,False,United States,Wyoming,840.0,2014-01-01,False,False,2016-01-02,USD,1.0,299.23,99.14,200.09000000000003
2016-01-02,66,917,USD,1,1,SV 500GB USB 2.0 Portable External Hard Drive X405 White,Southridge Video,White,59.31,179.0,308,Computers Accessories,3,Computers,False,False,False,United States,Wyoming,840.0,2014-01-01,False,False,2016-01-02,USD,1.0,179.0,59.31,119.69
2016-01-02,66,1223,USD,7,1,Fabrikam Budget Moviemaker 2/3'' 17mm E100 Black,Fabrikam,Black,234.52,460.0,405,Camcorders,4,Cameras and camcorders,False,False,False,United States,Wyoming,840.0,2014-01-01,False,False,2016-01-02,USD,1.0,3220.0,1641.64,1578.36
